date,temperature_2m
2026-02-27 07:00:00+00:00,6.55
2026-02-27 08:00:00+00:00,8.4
2026-02-27 09:00:00+00:00,10.55
2026-02-27 10:00:00+00:00,12.55
2026-02-27 11:00:00+00:00,14.6
2026-02-27 12:00:00+00:00,16.15
2026-02-27 13:00:00+00:00,17.1
2026-02-27 14:00:00+00:00,17.5
2026-02-27 15:00:00+00:00,17.0
2026-02-27 16:00:00+00:00,15.6
2026-02-27 17:00:00+00:00,13.95
2026-02-27 18:00:00+00:00,13.9
2026-02-27 19:00:00+00:00,13.25
2026-02-27 20:00:00+00:00,12.45
2026-02-27 21:00:00+00:00,11.9
2026-02-27 22:00:00+00:00,11.3
2026-02-27 23:00:00+00:00,10.55
2026-02-28 00:00:00+00:00,10.3
2026-02-28 01:00:00+00:00,10.25
2026-02-28 02:00:00+00:00,9.55
2026-02-28 03:00:00+00:00,9.05
2026-02-28 04:00:00+00:00,8.95
2026-02-28 05:00:00+00:00,8.35
2026-02-28 06:00:00+00:00,8.0
2026-02-28 07:00:00+00:00,8.45
2026-02-28 08:00:00+00:00,9.95
2026-02-28 09:00:00+00:00,11.7
2026-02-28 10:00:00+00:00,13.55
2026-02-28 11:00:00+00:00,15.3
2026-02-28 12:00:00+00:00,16.65
2026-02-28 13:00:00+00:00,17.5
2026-02-28 14:00:00+00:00,17.7
2026-02-28 15:00:00+00:00,17.1
2026-02-28 16:00:00+00:00,15.55
2026-02-28 17:00:00+00:00,13.95
2026-02-28 18:00:00+00:00,12.9
2026-02-28 19:00:00+00:00,12.7
2026-02-28 20:00:00+00:00,11.9
2026-02-28 21:00:00+00:00,11.2
2026-02-28 22:00:00+00:00,10.9
2026-02-28 23:00:00+00:00,10.3
2026-03-01 00:00:00+00:00,10.05
2026-03-01 01:00:00+00:00,9.5
2026-03-01 02:00:00+00:00,8.55
2026-03-01 03:00:00+00:00,7.7
2026-03-01 04:00:00+00:00,6.85
2026-03-01 05:00:00+00:00,5.85
2026-03-01 06:00:00+00:00,5.1
2026-03-01 07:00:00+00:00,5.3
2026-03-01 08:00:00+00:00,6.05
2026-03-01 09:00:00+00:00,7.0
2026-03-01 10:00:00+00:00,8.2
2026-03-01 11:00:00+00:00,9.55
2026-03-01 12:00:00+00:00,9.85
2026-03-01 13:00:00+00:00,10.05
2026-03-01 14:00:00+00:00,10.1
2026-03-01 15:00:00+00:00,10.35
2026-03-01 16:00:00+00:00,9.2
2026-03-01 17:00:00+00:00,7.15
2026-03-01 18:00:00+00:00,7.05
2026-03-01 19:00:00+00:00,6.7
2026-03-01 20:00:00+00:00,5.9
2026-03-01 21:00:00+00:00,5.4
2026-03-01 22:00:00+00:00,5.0
2026-03-01 23:00:00+00:00,4.5
2026-03-02 00:00:00+00:00,4.05
2026-03-02 01:00:00+00:00,3.6
2026-03-02 02:00:00+00:00,3.3
2026-03-02 03:00:00+00:00,2.75
2026-03-02 04:00:00+00:00,2.45
2026-03-02 05:00:00+00:00,2.3
2026-03-02 06:00:00+00:00,1.95
2026-03-02 07:00:00+00:00,2.7
2026-03-02 08:00:00+00:00,4.35
2026-03-02 09:00:00+00:00,6.3
2026-03-02 10:00:00+00:00,8.25
2026-03-02 11:00:00+00:00,10.35
2026-03-02 12:00:00+00:00,12.8
2026-03-02 13:00:00+00:00,13.75
2026-03-02 14:00:00+00:00,13.8
2026-03-02 15:00:00+00:00,13.3
2026-03-02 16:00:00+00:00,11.45
2026-03-02 17:00:00+00:00,9.65
2026-03-02 18:00:00+00:00,8.6
2026-03-02 19:00:00+00:00,7.9
2026-03-02 20:00:00+00:00,6.7
2026-03-02 21:00:00+00:00,6.35
2026-03-02 22:00:00+00:00,5.8
2026-03-02 23:00:00+00:00,5.35
2026-03-03 00:00:00+00:00,4.65
2026-03-03 01:00:00+00:00,3.65
2026-03-03 02:00:00+00:00,2.95
2026-03-03 03:00:00+00:00,2.4
2026-03-03 04:00:00+00:00,1.9
2026-03-03 05:00:00+00:00,1.55
2026-03-03 06:00:00+00:00,1.35
2026-03-03 07:00:00+00:00,1.95
2026-03-03 08:00:00+00:00,3.95
2026-03-03 09:00:00+00:00,6.05
2026-03-03 10:00:00+00:00,8.35
2026-03-03 11:00:00+00:00,10.45
2026-03-03 12:00:00+00:00,13.1
2026-03-03 13:00:00+00:00,14.3
2026-03-03 14:00:00+00:00,14.8
2026-03-03 15:00:00+00:00,14.6
2026-03-03 16:00:00+00:00,12.7
2026-03-03 17:00:00+00:00,10.2
2026-03-03 18:00:00+00:00,9.4
2026-03-03 19:00:00+00:00,8.75
2026-03-03 20:00:00+00:00,7.7
2026-03-03 21:00:00+00:00,6.8
2026-03-03 22:00:00+00:00,5.95
2026-03-03 23:00:00+00:00,5.65
